episode,left_vel_viol_frames,left_freeze_jump_frames,left_max_vel_frac,right_vel_viol_frames,right_freeze_jump_frames,right_max_vel_frac,frames
0,5,0,1.3462679866619527,4,0,1.1351734815377106,350
1,9,0,1.8035709504980981,3,0,1.288069043360225,241
2,10,0,1.8774758892733363,4,0,1.6228261672550992,240
3,17,0,1.977184759283931,6,0,1.687925178433102,248
4,7,0,1.945422142032452,8,0,1.3635898979937562,249
5,6,0,1.870226935192644,10,0,1.8302146821445584,237
6,4,0,1.9203537958740846,6,0,1.4093649193801077,234
7,9,0,1.4666014824350788,11,0,2.2001215584981746,245
8,2,0,1.171652781132185,6,0,1.728344997453371,255
9,6,0,1.4027212365195085,6,0,1.8347935428364341,249
10,4,0,2.2155793917782556,7,0,1.6744129363991813,241
11,8,0,2.082851957796638,4,0,1.7888124146229216,255
12,6,0,1.533753517819453,9,0,1.7705284330883593,289
13,5,0,1.4795359818277294,7,0,1.9964519043478834,245
14,5,0,1.3615656536652456,3,0,1.5459256185843133,266
15,9,0,2.000785689185433,6,0,1.7176086729554303,238
16,10,0,2.2126649375631335,6,0,1.6327089270525244,240
17,11,0,1.552447746681279,11,0,1.5143750071411715,211
18,12,0,1.5195167736428743,5,0,1.6585875787161144,243
19,7,0,2.1225024066659075,7,0,1.6493140227929,238
20,8,0,1.7760345063669518,5,0,1.1856716163152636,242
21,4,0,1.9837101050069932,3,0,1.0996308686512362,217
22,6,0,1.5443779404320483,3,0,2.291609393833018,225
23,4,0,1.7863330549588061,2,0,1.4417431757579902,243
24,5,0,1.971051963944604,7,0,1.759450503953207,238
25,4,0,1.5264328821796171,4,0,1.9953464710268385,217
26,4,0,1.8590213735556762,12,0,1.8973615335757776,240
27,7,0,1.7999212687199981,7,0,1.6633868467955786,233
28,5,0,1.7831751337024067,8,0,1.6244439181534585,228
29,7,0,1.4698916838754328,9,0,1.638191404406412,222
30,9,0,1.9786291158871074,6,0,1.3935152507443143,241
31,6,0,1.5877168613495778,10,0,1.5562509807269689,220
32,6,0,2.268784984362729,5,0,1.7106190952894909,238
33,4,0,1.6798353513992732,2,0,1.3487802376150515,224
34,6,0,1.5217151272945897,6,0,1.4377136353435351,239
35,10,0,1.9844304957385277,5,0,1.9404080080325647,233
36,12,0,1.9049215248457683,5,0,2.059879180011913,265
37,4,0,1.8048415552920802,7,0,1.525997787628611,221
38,10,0,2.0978621835353386,8,0,2.34154963220088,257
39,10,0,1.9715574887557152,9,0,1.5873479068905485,212
40,10,0,2.088524632604211,11,0,1.6795067960234518,197
41,12,0,2.1376046922623595,11,0,1.724565359332386,232
42,10,0,2.0959312503636167,7,0,2.434398702131415,218
43,10,0,2.1754897369468567,9,0,2.1118141678024047,214
44,9,0,1.8092679362583979,9,0,1.8622604504925018,213
45,12,0,1.7861807539902537,9,0,2.087444582777925,221
46,10,0,1.7457401991573651,11,0,1.7295730580800812,205
47,12,0,1.6966742613026382,13,0,1.9039179830177693,211
48,10,0,2.1061643738915152,10,0,2.351485840342903,207
49,10,0,1.8448262797613426,18,0,1.7456182868797208,209
50,10,0,2.2953050161614916,14,0,1.6845877851433377,213
51,12,0,2.037928892297754,16,0,1.778435749219732,253
52,8,0,1.6516149829656825,15,0,2.0623746278065096,239
53,11,0,1.9147742534662955,15,0,2.5621171860663003,192
54,12,0,1.6918176122244584,13,0,1.901872645362628,185
55,9,0,2.3780018032083223,15,0,2.4764117823403113,221
56,9,0,2.115588443213229,14,0,2.1300127034884127,192
57,14,0,2.4437037192875697,15,0,3.17286069436424,210
58,7,0,2.2008190683330255,14,0,2.0961750749189054,239
59,8,0,1.3506428856107318,9,0,1.3000725287990333,196
60,8,0,2.4096623077319705,11,0,2.0680662508566487,224
61,8,0,1.929914614304886,12,0,2.8700695657229125,215
62,6,0,2.314264699176253,13,0,3.301418799953223,223
63,7,0,2.0299259411685213,18,0,1.8124884224666682,201
64,8,0,1.5492106360715123,7,0,1.6406157069128813,203
65,10,0,1.7451488709836884,15,0,1.6926465084582367,211
66,9,0,1.491707188807563,9,0,1.7096214313351532,197
67,5,0,2.0175259252218485,5,0,1.7849408954011905,202
68,9,0,2.0116097833729976,11,0,2.0549612172809004,218
69,7,0,1.8480324654091849,10,0,1.9706168693935973,240
70,5,0,2.457324288066729,15,0,1.682084829554517,242
71,5,0,2.779065268087524,11,0,2.151110320287083,210
72,6,0,2.0695828252899844,13,0,1.8589706065661589,250
73,9,0,1.5892577467356392,12,0,2.139295197261894,218
74,10,0,1.2906784906542175,13,0,1.9097583318963547,236
75,10,0,1.9571596845173223,11,0,2.6540031132520436,239
76,13,0,1.775122488125689,13,0,1.761515504878936,246
77,8,0,2.4188754437873787,10,0,2.1582741860332324,264
78,9,0,2.343093198942022,12,0,2.125865183450431,235
79,10,0,2.4328646095115563,14,0,2.106106099107773,262
80,10,0,2.46219434392031,9,0,3.2843217649341425,235
81,7,0,1.8962425147223267,13,0,2.3868298541964412,228
82,8,0,2.701563917121778,10,0,2.138456111878811,249
83,11,0,1.9573259285322917,15,0,2.2266387301848525,213
84,13,0,1.6432051808922885,14,0,2.432563225200547,243
85,13,0,1.750495493013515,14,0,2.311430685613536,199
86,15,0,2.4029859123393935,11,0,2.8950454945095174,235
87,10,0,2.1891101269690103,11,0,1.973987153972345,205
88,9,0,1.7513367234806618,12,0,2.352954865412817,201
89,10,0,1.5800510459324235,16,0,2.453684795437934,214
90,7,0,2.456957836205775,11,0,2.288630944609984,216
91,8,0,1.71395899117733,12,0,1.9690951110071073,183
92,6,0,2.016593886195987,15,0,2.214536880923092,198
93,7,0,1.8961209599586932,13,0,2.010557619639545,205
94,6,0,2.1726641249633905,11,0,1.9808578582297307,209
95,6,0,2.005242458842659,10,0,2.2966782274765407,201
96,10,0,2.4165308669052927,12,0,2.4251501721889492,192
97,4,0,1.748152703701482,12,0,1.5381573754030973,191
98,8,0,2.045213955293526,11,0,2.3925463244703233,198
99,9,0,1.530367502624235,16,0,1.7167386626104226,196
100,13,0,2.115514080299006,13,0,2.7558924612138194,207
101,8,0,1.7082058757173526,15,0,1.8532053356298173,195
102,7,0,2.006712020183589,10,0,2.278742285831382,211
103,9,0,1.819656935894956,13,0,2.04436807714424,219
104,10,0,1.752107881201714,20,0,1.8854967161031029,204
105,7,0,2.1523106735779653,18,0,1.8463507195029125,210
106,7,0,1.655626647679603,14,0,1.9269186468953274,197
107,8,0,1.8998712819308015,13,0,2.0511522630110397,198
108,9,0,1.710304219159939,8,0,1.740147249974175,179
109,11,0,1.7576207472465097,12,0,2.706061800890233,215
110,13,0,2.1844370613353186,11,0,1.9439202256735553,233
111,10,0,2.0652887245076204,16,0,2.6323713705214065,182
112,11,0,2.568032434130125,16,0,1.876019377193797,169
113,14,0,1.6375149878981918,11,0,2.4855764752472713,182
114,11,0,2.3592964489343857,14,0,2.0664224014355095,206
115,10,0,1.7808259091381813,14,0,1.8969320268233703,203
116,11,0,2.0117631568835823,10,0,1.7211089138770628,209
117,10,0,2.353488633830773,12,0,2.3209906102593103,199
118,3,0,1.31361104811274,12,0,2.0708977618212914,187
119,8,0,1.5874476088073408,9,0,2.492822926729889,172
120,7,0,2.044697705062094,9,0,2.4146342550785973,196
121,11,0,1.7415576427463362,12,0,2.6353659078749225,225
